experiment,item,object,version,condition,setting,critical,central_word,distinguishing_word,notes,key inference,critical_masked,full_masked
1,17,-,c,nonafforded,"Janet was teaching her class and desperately needed to draw on the blackboard, but as usual, the janitorial staff had forgotten to put fresh supplies in the classroom.",She looked around and found a brush and some water in a cup to use on the blackboard.,blackboard,water,,,She looked around and found a brush and some [MASK] in a cup to use on the blackboard.,"Janet was teaching her class and desperately needed to draw on the blackboard, but as usual, the janitorial staff had forgotten to put fresh supplies in the classroom. She looked around and found a brush and some [MASK] in a cup to use on the blackboard."
1,18,-,a,nonafforded,"Judy was trying to complete the Xeroxing using the machine in the hallway, but people kept asking her if they could cut in to make a few copies.",She became so frustrated that she moved the Xerox machine into her mailbox to get some privacy.,privacy,her mailbox,,,She became so frustrated that she moved the Xerox machine into [MASK] to get some privacy.,"Judy was trying to complete the Xeroxing using the machine in the hallway, but people kept asking her if they could cut in to make a few copies. She became so frustrated that she moved the Xerox machine into [MASK] to get some privacy."
1,18,-,b,afforded,"Judy was trying to complete the Xeroxing using the machine in the hallway, but people kept asking her if they could cut in to make a few copies.",She became so frustrated that she moved the Xerox machine into the lavatory to get some privacy.,privacy,the lavatory,,,She became so frustrated that she moved the Xerox machine into [MASK] to get some privacy.,"Judy was trying to complete the Xeroxing using the machine in the hallway, but people kept asking her if they could cut in to make a few copies. She became so frustrated that she moved the Xerox machine into [MASK] to get some privacy."
1,18,-,c,related,"Judy was trying to complete the Xeroxing using the machine in the hallway, but people kept asking her if they could cut in to make a few copies.",She became so frustrated that she moved the Xerox machine into her office to get some privacy.,privacy,her office,,,She became so frustrated that she moved the Xerox machine into [MASK] to get some privacy.,"Judy was trying to complete the Xeroxing using the machine in the hallway, but people kept asking her if they could cut in to make a few copies. She became so frustrated that she moved the Xerox machine into [MASK] to get some privacy."
2,1,1,a,afforded,Susan and Sara were having a water fight in their kitchen.,Susan threw some hot water on Sara's arm and it burned the skin off her arm.,-,hot water,,,Susan threw some [MASK] on Sara's arm and it burned the skin off her arm.,Susan and Sara were having a water fight in their kitchen. Susan threw some [MASK] on Sara's arm and it burned the skin off her arm.
2,1,1,b,nonafforded,Susan and Sara were having a water fight in their kitchen.,Susan took a pitcher of hot water and poured it on Sara to cool her off.,-,hot water,,,Susan took a pitcher of [MASK] and poured it on Sara to cool her off.,Susan and Sara were having a water fight in their kitchen. Susan took a pitcher of [MASK] and poured it on Sara to cool her off.
2,1,2,a,afforded,Susan and Sara were having a water fight in their kitchen.,Susan took a pitcher of cold water and poured it on Sara to cool her off.,-,cold water,,,Susan took a pitcher of [MASK] and poured it on Sara to cool her off.,Susan and Sara were having a water fight in their kitchen. Susan took a pitcher of [MASK] and poured it on Sara to cool her off.
2,1,2,b,nonafforded,Susan and Sara were having a water fight in their kitchen.,Susan threw some cold water on Sara's arm and it burned the skin of off her arm.,-,cold water,,,Susan threw some [MASK] on Sara's arm and it burned the skin of off her arm.,Susan and Sara were having a water fight in their kitchen. Susan threw some [MASK] on Sara's arm and it burned the skin of off her arm.
2,2,1,a,afforded,Kate was cleaning her kitchen on Sunday morning after a big party she had the night before.,"Since she couldn't reach the ceiling, she stuck her broom up in the air to try to get a piece of gum off her ceiling tile.",-,ceiling tile,,,"Since she couldn't reach the ceiling, she stuck her broom up in the air to try to get a piece of gum off her [MASK] .","Kate was cleaning her kitchen on Sunday morning after a big party she had the night before. Since she couldn't reach the ceiling, she stuck her broom up in the air to try to get a piece of gum off her [MASK] ."
2,2,1,b,nonafforded,Kate was cleaning her kitchen on Sunday morning after a big party she had the night before.,She got down on her hands and knees to scrape the beer stains off the ceiling tile.,-,ceiling tile,,,She got down on her hands and knees to scrape the beer stains off the [MASK] .,Kate was cleaning her kitchen on Sunday morning after a big party she had the night before. She got down on her hands and knees to scrape the beer stains off the [MASK] .
2,2,2,a,afforded,Kate was cleaning her kitchen on Sunday morning after a big party she had the night before.,She got down on her hands and knees to scrape the beer stains off the floor tile.,-,floor tile,,,She got down on her hands and knees to scrape the beer stains off the [MASK] .,Kate was cleaning her kitchen on Sunday morning after a big party she had the night before. She got down on her hands and knees to scrape the beer stains off the [MASK] .
2,2,2,b,nonafforded,Kate was cleaning her kitchen on Sunday morning after a big party she had the night before.,"Since she couldn't reach the ceiling, she stuck her broom up broom uppom up in the air to try to get a piece of gum off her floor tile.",-,floor tile,,,"Since she couldn't reach the ceiling, she stuck her broom up broom uppom up in the air to try to get a piece of gum off her [MASK] .","Kate was cleaning her kitchen on Sunday morning after a big party she had the night before. Since she couldn't reach the ceiling, she stuck her broom up broom uppom up in the air to try to get a piece of gum off her [MASK] ."
2,3,1,a,afforded,Jenny's family was on a camping trip in the mountains.  Jenny was sleeping in a tent by herself and she started to get a little scared as she drifted off to sleep.,She grabbed a teddy bear out of her backpack to cuddle with while she slept.,-,teddy bear,,,She grabbed a [MASK] out of her backpack to cuddle with while she slept.,Jenny's family was on a camping trip in the mountains.  Jenny was sleeping in a tent by herself and she started to get a little scared as she drifted off to sleep. She grabbed a [MASK] out of her backpack to cuddle with while she slept.
2,3,1,b,nonafforded,Jenny's family was on a camping trip in the mountains.  Jenny was sleeping in a tent by herself and she started to get a little scared as she drifted off to sleep.,She screamed as she saw a large teddy bear eating their leftover dinner.,-,teddy bear,,,She screamed as she saw a large [MASK] eating their leftover dinner.,Jenny's family was on a camping trip in the mountains.  Jenny was sleeping in a tent by herself and she started to get a little scared as she drifted off to sleep. She screamed as she saw a large [MASK] eating their leftover dinner.
2,3,2,a,afforded,Jenny's family was on a camping trip in the mountains.  Jenny was sleeping in a tent by herself and she started to get a little scared as she drifted off to sleep.,She screamed as she saw a large grizzly bear eating their leftover dinner.,-,grizzly bear,,,She screamed as she saw a large [MASK] eating their leftover dinner.,Jenny's family was on a camping trip in the mountains.  Jenny was sleeping in a tent by herself and she started to get a little scared as she drifted off to sleep. She screamed as she saw a large [MASK] eating their leftover dinner.
2,3,2,b,nonafforded,Jenny's family was on a camping trip in the mountains.  Jenny was sleeping in a tent by herself and she started to get a little scared as she drifted off to sleep.,She grabbed a grizzly bear out of her backpack to cuddle with while she slept.,-,grizzly bear,,,She grabbed a [MASK] out of her backpack to cuddle with while she slept.,Jenny's family was on a camping trip in the mountains.  Jenny was sleeping in a tent by herself and she started to get a little scared as she drifted off to sleep. She grabbed a [MASK] out of her backpack to cuddle with while she slept.
2,4,1,a,afforded,Bill noticed that there was water dripping from his ceiling.,Bill used a thin plastic sheet to protect his chair from the water.,-,plastic sheet,,,Bill used a thin [MASK] to protect his chair from the water.,Bill noticed that there was water dripping from his ceiling. Bill used a thin [MASK] to protect his chair from the water.
2,4,1,b,nonafforded,Bill noticed that there was water dripping from his ceiling.,Bill used a thin plastic sheet to absorb the water that had fallen.,-,plastic sheet,,,Bill used a thin [MASK] to absorb the water that had fallen.,Bill noticed that there was water dripping from his ceiling. Bill used a thin [MASK] to absorb the water that had fallen.
2,4,2,a,afforded,Bill noticed that there was water dripping from his ceiling.,Bill used a thin cloth sheet to absorb the water that had fallen.,-,cloth sheet,,,Bill used a thin [MASK] to absorb the water that had fallen.,Bill noticed that there was water dripping from his ceiling. Bill used a thin [MASK] to absorb the water that had fallen.
2,4,2,b,nonafforded,Bill noticed that there was water dripping from his ceiling.,Bill used a thin cloth sheet to protect his chair from the water.,-,cloth sheet,,,Bill used a thin [MASK] to protect his chair from the water.,Bill noticed that there was water dripping from his ceiling. Bill used a thin [MASK] to protect his chair from the water.
2,5,1,a,afforded,Richard was digging through a box of junk in his basement.,He crushed a ping pong ball in his hand.,-,ping pong ball,,,He crushed a [MASK] in his hand.,Richard was digging through a box of junk in his basement. He crushed a [MASK] in his hand.
2,5,1,b,nonafforded,Richard was digging through a box of junk in his basement.,He sunk a ping pong ball in a bucket of water.,-,ping pong ball,,,He sunk a [MASK] in a bucket of water.,Richard was digging through a box of junk in his basement. He sunk a [MASK] in a bucket of water.
2,5,2,a,afforded,Richard was digging through a box of junk in his basement.,He sunk a steel ball in a bucket of water.,-,steel ball,,,He sunk a [MASK] in a bucket of water.,Richard was digging through a box of junk in his basement. He sunk a [MASK] in a bucket of water.
2,5,2,b,nonafforded,Richard was digging through a box of junk in his basement.,He crushed a steel ball in his haaand.,-,steel ball,,,He crushed a [MASK] in his haaand.,Richard was digging through a box of junk in his basement. He crushed a [MASK] in his haaand.
2,6,1,a,afforded,Henry had just finished skinny dipping in the lake.,He covered up his body with his beach towel.,-,beach towel,,,He covered up his body with his [MASK] .,Henry had just finished skinny dipping in the lake. He covered up his body with his [MASK] .
2,6,1,b,nonafforded,Henry had just finished skinny dipping in the lake.,He pulled out a beach towel from his jeans' pocket.,-,beach towel,,,He pulled out a [MASK] from his jeans' pocket.,Henry had just finished skinny dipping in the lake. He pulled out a [MASK] from his jeans' pocket.
2,6,2,a,afforded,Henry had just finished skinny dipping in the lake.,He pulled out a hand towel from his jeans' pocket.,-,hand towel,,,He pulled out a [MASK] from his jeans' pocket.,Henry had just finished skinny dipping in the lake. He pulled out a [MASK] from his jeans' pocket.
2,6,2,b,nonafforded,Henry had just finished skinny dipping in the lake.,He covered up his body with his hand towel.,-,hand towel,,,He covered up his body with his [MASK] .,Henry had just finished skinny dipping in the lake. He covered up his body with his [MASK] .
2,7,1,a,afforded,John was cleaning up his garage.,He put all the old baseballs he found into a garbage can.,-,garbage can,,,He put all the old baseballs he found into a [MASK] .,John was cleaning up his garage. He put all the old baseballs he found into a [MASK] .
2,7,1,b,nonafforded,John was cleaning up his garage.,He found an old garbage can and put it in his glove compartment.,-,garbage can,,,He found an old [MASK] and put it in his glove compartment.,John was cleaning up his garage. He found an old [MASK] and put it in his glove compartment.
2,7,2,a,afforded,John was cleaning up his garage.,He found an old soda can and put it in his glove compartment.,-,soda can,,,He found an old [MASK] and put it in his glove compartment.,John was cleaning up his garage. He found an old [MASK] and put it in his glove compartment.
2,7,2,b,nonafforded,John was cleaning up his garage.,He put all the old baseballs he found into a soda can.,-,soda can,,,He put all the old baseballs he found into a [MASK] .,John was cleaning up his garage. He put all the old baseballs he found into a [MASK] .
2,8,1,a,afforded,Janice was sitting in her den.,The ticking of the desk clock was annoying her so she placed it in her drawer.,-,desk clock,,,The ticking of the [MASK] was annoying her so she placed it in her drawer.,Janice was sitting in her den. The ticking of the [MASK] was annoying her so she placed it in her drawer.
2,8,1,b,nonafforded,Janice was sitting in her den.,"She wanted to hide a folder from her husband, so she put it inside the desk clock.",-,desk clock,,,"She wanted to hide a folder from her husband, so she put it inside the [MASK] .","Janice was sitting in her den. She wanted to hide a folder from her husband, so she put it inside the [MASK] ."
2,8,2,a,afforded,Janice was sitting in her den.,The ticking of the grandfather clock was annoying her so she placed it in her drawer.,-,grandfather clock,,,The ticking of the [MASK] was annoying her so she placed it in her drawer.,Janice was sitting in her den. The ticking of the [MASK] was annoying her so she placed it in her drawer.
2,8,2,b,nonafforded,Janice was sitting in her den.,"She wanted to hide a folder from her husband, so she put it inside the grandfather clock.",-,grandfather clock,,,"She wanted to hide a folder from her husband, so she put it inside the [MASK] .","Janice was sitting in her den. She wanted to hide a folder from her husband, so she put it inside the [MASK] ."
2,9,1,a,afforded,Julie needed some extra money to pay bills. ,She decided she would rent out the extra room in her ranch house to college students.,-,ranch house,,,She decided she would rent out the extra room in her [MASK] to college students.,Julie needed some extra money to pay bills.  She decided she would rent out the extra room in her [MASK] to college students.
2,9,1,b,nonafforded,Julie needed some extra money to pay bills. ,She decided to throw her ranch house into the backseat of her car and take it to the pawn shop.,-,ranch house,,,She decided to throw her [MASK] into the backseat of her car and take it to the pawn shop.,Julie needed some extra money to pay bills.  She decided to throw her [MASK] into the backseat of her car and take it to the pawn shop.
2,9,2,a,afforded,Julie needed some extra money to pay bills. ,She decided to throw her doll house into the backseat of her car and take it to the pawn shop.,-,doll house,,,She decided to throw her [MASK] into the backseat of her car and take it to the pawn shop.,Julie needed some extra money to pay bills.  She decided to throw her [MASK] into the backseat of her car and take it to the pawn shop.
2,9,2,b,nonafforded,Julie needed some extra money to pay bills. ,She decided she would rent out the extra room in her doll house to college students.,-,doll house,,,She decided she would rent out the extra room in her [MASK] to college students.,Julie needed some extra money to pay bills.  She decided she would rent out the extra room in her [MASK] to college students.
2,10,1,a,afforded,Brian had many things to do before his father came to see his new apartment.,He picked up his matchbox car and set it on the train set to make it appear more realistic.,-,matchbox car,,,He picked up his [MASK] and set it on the train set to make it appear more realistic.,Brian had many things to do before his father came to see his new apartment. He picked up his [MASK] and set it on the train set to make it appear more realistic.
2,10,1,b,nonafforded,Brian had many things to do before his father came to see his new apartment.,He drove his matchbox car to the shopping mall to pick up his roommates.,-,matchbox car,,,He drove his [MASK] to the shopping mall to pick up his roommates.,Brian had many things to do before his father came to see his new apartment. He drove his [MASK] to the shopping mall to pick up his roommates.
2,10,2,a,afforded,Brian had many things to do before his father came to see his new apartment.,He drove his luxury car to the shopping mall to pick up his roommates.,-,luxury car,,,He drove his [MASK] to the shopping mall to pick up his roommates.,Brian had many things to do before his father came to see his new apartment. He drove his [MASK] to the shopping mall to pick up his roommates.
2,10,2,b,nonafforded,Brian had many things to do before his father came to see his new apartment.,He picked up his luxury car and set it on the train set to make it appear more realistic.,-,luxury car,,,He picked up his [MASK] and set it on the train set to make it appear more realistic.,Brian had many things to do before his father came to see his new apartment. He picked up his [MASK] and set it on the train set to make it appear more realistic.
2,11,1,a,afforded,"John knew that he would not be able to watch all of the movie on TV, and so he considered various options.",He decided to use his VCR to record his favorite TV show on some video tape.,-,video tape,,,He decided to use his VCR to record his favorite TV show on some [MASK] .,"John knew that he would not be able to watch all of the movie on TV, and so he considered various options. He decided to use his VCR to record his favorite TV show on some [MASK] ."
2,11,1,b,nonafforded,"John knew that he would not be able to watch all of the movie on TV, and so he considered various options.",He decided to use some video tape to hold a poster to the wall.,-,video tape,,,He decided to use some [MASK] to hold a poster to the wall.,"John knew that he would not be able to watch all of the movie on TV, and so he considered various options. He decided to use some [MASK] to hold a poster to the wall."
2,11,2,a,afforded,"John knew that he would not be able to watch all of the movie on TV, and so he considered various options.",He decided to use some masking tape to hold a poster to the wall. ,-,masking tape,,,He decided to use some [MASK] to hold a poster to the wall. ,"John knew that he would not be able to watch all of the movie on TV, and so he considered various options. He decided to use some [MASK] to hold a poster to the wall. "
2,11,2,b,nonafforded,"John knew that he would not be able to watch all of the movie on TV, and so he considered various options.",He decided to use his VCR to record his favorite TV show on some masking tape.,-,masking tape,,,He decided to use his VCR to record his favorite TV show on some [MASK] .,"John knew that he would not be able to watch all of the movie on TV, and so he considered various options. He decided to use his VCR to record his favorite TV show on some [MASK] ."
2,12,1,a,afforded,Jen was testing the characteristics of lake water.,She ice skated on the frozen water.,-,frozen water,,,She ice skated on the [MASK] .,Jen was testing the characteristics of lake water. She ice skated on the [MASK] .
2,12,1,b,nonafforded,Jen was testing the characteristics of lake water.,She poured the frozen water out of the bottle.,-,frozen water,,,She poured the [MASK] out of the bottle.,Jen was testing the characteristics of lake water. She poured the [MASK] out of the bottle.
2,12,2,a,afforded,Jen was testing the characteristics of lake water.,She poured the warm water out of the bottle.,-,warm water,,,She poured the [MASK] out of the bottle.,Jen was testing the characteristics of lake water. She poured the [MASK] out of the bottle.
2,12,2,b,nonafforded,Jen was testing the characteristics of lake water.,She ice skated on the warm water.,-,warm water,,,She ice skated on the [MASK] .,Jen was testing the characteristics of lake water. She ice skated on the [MASK] .
2,13,1,a,afforded,Amy was shopping for bridesmaid dresses.,She didn't like how shoulder pads looked in long-sleeved dresses.,-,long-sleeved dresses,,,She didn't like how shoulder pads looked in [MASK] .,Amy was shopping for bridesmaid dresses. She didn't like how shoulder pads looked in [MASK] .
2,13,1,b,nonafforded,Amy was shopping for bridesmaid dresses.,Long-sleeved dresses showed off women's beautifully toned arms.,-,long-sleeved dresses,,, [MASK] showed off women's beautifully toned arms.,Amy was shopping for bridesmaid dresses.  [MASK] showed off women's beautifully toned arms.
2,13,2,a,afforded,Amy was shopping for bridesmaid dresses.,Strapless dresses showed off women's beautifully toned arms.,-,strapless dresses,,, [MASK] showed off women's beautifully toned arms.,Amy was shopping for bridesmaid dresses.  [MASK] showed off women's beautifully toned arms.
2,13,2,b,nonafforded,Amy was shopping for bridesmaid dresses.,She didn't like how shoulder pads looked in strapless dresses.,-,strapless dresses,,,She didn't like how shoulder pads looked in [MASK] .,Amy was shopping for bridesmaid dresses. She didn't like how shoulder pads looked in [MASK] .
2,14,1,a,afforded,Karen had just finished being pampered at the salon.,She didn't want to cover up her beautifully polished toenails by slipping on her socks and shoes.,-,toenails,,,She didn't want to cover up her beautifully polished [MASK] by slipping on her socks and shoes.,Karen had just finished being pampered at the salon. She didn't want to cover up her beautifully polished [MASK] by slipping on her socks and shoes.
2,14,1,b,nonafforded,Karen had just finished being pampered at the salon.,She didn't want to cover up her beautifully polished toenails by slipping on her gloves.,-,toenails,,,She didn't want to cover up her beautifully polished [MASK] by slipping on her gloves.,Karen had just finished being pampered at the salon. She didn't want to cover up her beautifully polished [MASK] by slipping on her gloves.
2,14,2,a,afforded,Karen had just finished being pampered at the salon.,She didn't want to cover up her beautifully polished fingernails by slipping on her gloves. ,-,fingernails,,,She didn't want to cover up her beautifully polished [MASK] by slipping on her gloves. ,Karen had just finished being pampered at the salon. She didn't want to cover up her beautifully polished [MASK] by slipping on her gloves. 
2,14,2,b,nonafforded,Karen had just finished being pampered at the salon.,She didn't want to cover up her beautifully polished fingernails by slipping on her socks and shoes.,-,fingernails,,,She didn't want to cover up her beautifully polished [MASK] by slipping on her socks and shoes.,Karen had just finished being pampered at the salon. She didn't want to cover up her beautifully polished [MASK] by slipping on her socks and shoes.
2,15,1,a,afforded,Richard noticed his girlfriend was staring at him peculiarly.,She handed him a tissue to absorb his milk mustache.,-,a tissue,,,She handed him [MASK] to absorb his milk mustache.,Richard noticed his girlfriend was staring at him peculiarly. She handed him [MASK] to absorb his milk mustache.
2,15,1,b,nonafforded,Richard noticed his girlfriend was staring at him peculiarly.,She handed him a tissue to trim his milk mustache.,-,a tissue,,,She handed him [MASK] to trim his milk mustache.,Richard noticed his girlfriend was staring at him peculiarly. She handed him [MASK] to trim his milk mustache.
2,15,2,a,afforded,Richard noticed his girlfriend was staring at him peculiarly.,She handed him scissors to trim his hairy mustache.,-,scissors,,,She handed him [MASK] to trim his hairy mustache.,Richard noticed his girlfriend was staring at him peculiarly. She handed him [MASK] to trim his hairy mustache.
2,15,2,b,nonafforded,Richard noticed his girlfriend was staring at him peculiarly.,She handed him scissors to absorb his hairy mustache.,-,scissors,,,She handed him [MASK] to absorb his hairy mustache.,Richard noticed his girlfriend was staring at him peculiarly. She handed him [MASK] to absorb his hairy mustache.
2,16,1,a,afforded,Janice was cleaning out her bedroom.,She was sidetracked and ended up inflating her beach ball.,-,beach ball,,,She was sidetracked and ended up inflating her [MASK] .,Janice was cleaning out her bedroom. She was sidetracked and ended up inflating her [MASK] .
2,16,1,b,nonafforded,Janice was cleaning out her bedroom.,She ended up breaking her foot when she dropped her beach ball on it.,-,beach ball,,,She ended up breaking her foot when she dropped her [MASK] on it.,Janice was cleaning out her bedroom. She ended up breaking her foot when she dropped her [MASK] on it.
2,16,2,a,afforded,Janice was cleaning out her bedroom.,She ended up breaking her foot when she dropped her bowling ball on it.,-,bowling ball,,,She ended up breaking her foot when she dropped her [MASK] on it.,Janice was cleaning out her bedroom. She ended up breaking her foot when she dropped her [MASK] on it.
2,16,2,b,nonafforded,Janice was cleaning out her bedroom.,She was sidetracked and ended up inflating her bowling ball.,-,bowling ball,,,She was sidetracked and ended up inflating her [MASK] .,Janice was cleaning out her bedroom. She was sidetracked and ended up inflating her [MASK] .
2,17,1,a,afforded,Rita rushed off to work in her car.,She was pulled over because her car had a busted taillight.,-,taillight,,,She was pulled over because her car had a busted [MASK] .,Rita rushed off to work in her car. She was pulled over because her car had a busted [MASK] .
2,17,1,b,nonafforded,Rita rushed off to work in her car.,She was pulled over because she ran a taillight.,-,taillight,,,She was pulled over because she ran a [MASK] .,Rita rushed off to work in her car. She was pulled over because she ran a [MASK] .
2,17,2,a,afforded,Rita rushed off to work in her car.,She was pulled over because she ran a stoplight.,-,stoplight,,,She was pulled over because she ran a [MASK] .,Rita rushed off to work in her car. She was pulled over because she ran a [MASK] .
2,17,2,b,nonafforded,Rita rushed off to work in her car.,She was pulled over because her car had a busted stoplight.,-,stoplight,,,She was pulled over because her car had a busted [MASK] .,Rita rushed off to work in her car. She was pulled over because her car had a busted [MASK] .
